21:46:57, HIGH CPU usage, 0.49
21:47:07, HIGH CPU usage, 0.57
21:47:17, HIGH CPU usage, 0.63
21:47:28, HIGH CPU usage, 0.69
21:47:38, HIGH CPU usage, 0.74
21:47:48, HIGH CPU usage, 0.78
21:47:58, HIGH CPU usage, 0.81
21:48:08, HIGH CPU usage, 0.84
21:48:18, HIGH CPU usage, 0.87
21:48:29, HIGH CPU usage, 0.89
21:48:39, HIGH CPU usage, 0.91
21:48:49, HIGH CPU usage, 0.92
21:48:59, HIGH CPU usage, 0.94
21:49:09, HIGH CPU usage, 0.95
21:49:20, HIGH CPU usage, 0.96
21:49:30, HIGH CPU usage, 0.96
21:49:40, HIGH CPU usage, 0.97
21:49:50, HIGH CPU usage, 0.97
21:50:00, HIGH CPU usage, 0.98
21:50:10, HIGH CPU usage, 0.98
21:50:21, HIGH CPU usage, 0.99
21:50:31, HIGH CPU usage, 0.99
21:50:41, HIGH CPU usage, 0.99
21:50:41, Very HIGH CPU usage, 0.99
21:50:51, HIGH CPU usage, 0.99
21:50:51, Very HIGH CPU usage, 0.99
21:51:01, HIGH CPU usage, 0.99
21:51:01, Very HIGH CPU usage, 0.99
21:51:12, HIGH CPU usage, 1.00
21:51:12, Very HIGH CPU usage, 1.00
21:51:22, HIGH CPU usage, 1.00
21:51:22, Very HIGH CPU usage, 1.00
21:51:32, HIGH CPU usage, 1.00
21:51:32, Very HIGH CPU usage, 1.00
21:51:42, HIGH CPU usage, 1.00
21:51:42, Very HIGH CPU usage, 1.00
21:51:52, HIGH CPU usage, 1.00
21:51:52, Very HIGH CPU usage, 1.00
21:52:02, HIGH CPU usage, 0.85
21:52:02, Very HIGH CPU usage, 0.85
21:52:13, HIGH CPU usage, 0.72
21:52:13, Very HIGH CPU usage, 0.72
21:52:23, HIGH CPU usage, 0.60
21:52:33, HIGH CPU usage, 0.51
21:52:43, HIGH CPU usage, 0.43
